f,exp,phase
7460000000.0,88675293.05404723,75032110.76366259
7467000000.0,88710452.53919975,75061827.10462175
7474000000.0,88745081.78902729,75091536.81103422
7481000000.0,88782398.37876701,75121239.83916883
7488000000.0,88819372.45357303,75150936.14552541
7495000000.0,88855344.00179061,75180625.68683429
7502000000.0,88889151.04101285,75210308.42005458
7509000000.0,88914334.39964783,75239984.30237326
7516000000.0,88935883.03095798,75269653.29120395
7523000000.0,88954262.61155465,75299315.34418568
7530000000.0,88964702.01095884,75328970.41918187
7537000000.0,88971517.21912934,75358618.47427893
7544000000.0,88976334.91714835,75388259.4677853
7551000000.0,88982940.98507906,75417893.35823031
7558000000.0,88993965.61145109,75447520.10436276
7565000000.0,89007796.67861955,75477139.66515025
7572000000.0,89027071.85153683,75506751.99977764
7579000000.0,89052651.01977104,75536357.0676463
7586000000.0,89079915.65468134,75565954.82837251
7593000000.0,89113061.88859925,75595545.24178687
7600000000.0,89150862.00099595,75625128.26793288
7607000000.0,89188664.13460128,75654703.867066
7614000000.0,89226544.91713303,75684271.99965246
7621000000.0,89261690.28204806,75713832.6263683
7628000000.0,89294087.46220751,75743385.70809808
7635000000.0,89322972.06719515,75772931.2059342
7642000000.0,89345321.12876183,75802469.08117539
7649000000.0,89365868.72215901,75831999.29532592
7656000000.0,89382614.51166782,75861521.81009468
7663000000.0,89396892.3042134,75891036.58739372
7670000000.0,89410314.48657033,75920543.58933762
7677000000.0,89425073.1930465,75950042.7782423
7684000000.0,89442080.5161161,75979534.11662392
7691000000.0,89463308.53273277,76009017.56719804
7698000000.0,89486760.46399994,76038493.09287858
7705000000.0,89513035.88335185,76067960.65677647
7712000000.0,89540305.97844487,76097420.22219935
7719000000.0,89567058.44831571,76126871.7526498
7726000000.0,89594048.45055084,76156315.21182501
7733000000.0,89620261.60797352,76185750.56361538
7740000000.0,89640718.16139796,76215177.77210368
7747000000.0,89655346.61396891,76244596.80156407
7754000000.0,89665235.62900226,76274007.6164613
7761000000.0,89678185.43198389,76303410.18144932
7768000000.0,89688896.51545888,76332804.46137105
7775000000.0,89699861.55658817,76362190.42125656
7782000000.0,89712929.44553874,76391568.02632283
7789000000.0,89726400.36154874,76420937.24197248
7796000000.0,89742437.32545096,76450298.03379287
7803000000.0,89767025.2938413,76479650.36755544
7810000000.0,89796898.01673195,76508994.20921431
7817000000.0,89826447.20402192,76538329.52490579
7824000000.0,89859160.14457011,76567656.28094728
7831000000.0,89889856.30841973,76596974.44383645
7838000000.0,89919651.2200668,76626283.98025014
7845000000.0,89946991.76939704,76655584.85704398
7852000000.0,89968944.68264863,76684877.04125074
7859000000.0,89987309.83494201,76714160.50008014
7866000000.0,90002319.13864274,76743435.20091762
7873000000.0,90013908.45918961,76772701.11132354
7880000000.0,90021481.78461659,76801958.19903232
7887000000.0,90031386.54482837,76831206.43195166
7894000000.0,90044414.09349437,76860445.77816145
7901000000.0,90059309.38162026,76889676.20591328
7908000000.0,90081843.33444925,76918897.68362914
7915000000.0,90107472.77851905,76948110.17990111
7922000000.0,90138116.11517248,76977313.66349004
7929000000.0,90171596.72997175,77006508.10332502
7936000000.0,90207906.51863109,77035693.46850246
7943000000.0,90246374.00351647,77064869.72828513
7950000000.0,90283321.66997568,77094036.8521018
7957000000.0,90315044.77003618,77123194.80954568
7964000000.0,90344361.49555433,77152343.5703744
7971000000.0,90371359.52502306,77181483.10450865
7978000000.0,90393586.51989113,77210613.38203168
7985000000.0,90412955.33138472,77239734.37318838
7992000000.0,90427611.4745293,77268846.04838441
7999000000.0,90443441.85778674,77297948.37818569
8006000000.0,90461638.37068228,77327041.3333174
8013000000.0,90485315.12059323,77356124.88466325
8020000000.0,90512138.76724751,77385199.00326459
8027000000.0,90541163.62619613,77414263.66032
8034000000.0,90576119.27270803,77443318.82718417
8041000000.0,90614449.38983078,77472364.47536722
8048000000.0,90653064.59399332,77501400.5765341
8055000000.0,90694320.26364818,77530427.10250372
8062000000.0,90732121.46646582,77559444.02524813
8069000000.0,90767116.21679407,77588451.31689203
8076000000.0,90798490.60753982,77617448.94971159
8083000000.0,90819578.96191272,77646436.89613444
8090000000.0,90835717.71063776,77675415.12873806
8097000000.0,90846088.44851239,77704383.62024975
8104000000.0,90847813.34546117,77733342.34354556
8111000000.0,90847518.03298177,77762291.27164975
8118000000.0,90850027.56462477,77791230.37773384
8125000000.0,90851923.98729871,77820159.63511634
8132000000.0,90859284.66943663,77849079.01726139
8139000000.0,90869530.21896975,77877988.49777883
8146000000.0,90886914.69256577,77906888.05042276
8153000000.0,90907368.07601821,77935777.64909142
8160000000.0,90935583.99218503,77964657.2678262
8167000000.0,90962993.67207986,77993526.88081102
8174000000.0,90992231.78886768,78022386.46237169
8181000000.0,91020157.04727814,78051235.98697515
8188000000.0,91045972.81004798,78080075.4292289
8195000000.0,91067456.53814901,78108904.76388027
8202000000.0,91083122.08368015,78137723.96581578
8209000000.0,91097023.90395615,78166533.01006041
8216000000.0,91107198.00704905,78195331.87177704
8223000000.0,91116211.12336099,78224120.52626573
8230000000.0,91122670.42721634,78252898.94896305
8237000000.0,91130506.7918986,78281667.1154415
8244000000.0,91141697.01356119,78310425.00140887
